"filename", "language", "JSON", "CSS", "Markdown", "XML", "JavaScript JSX", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\AdminOrder.jsx", "JavaScript JSX", 0, 0, 0, 0, 183, 0, 0, 0, 12, 195
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\AdminUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 181, 0, 0, 0, 12, 193
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\CSS\Login.css", "CSS", 0, 80, 0, 0, 0, 0, 0, 0, 3, 83
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\CSS\OrderDetails.css", "CSS", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\CSS\Orders.css", "CSS", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\CSS\ProductDetailsPage.css", "CSS", 0, 66, 0, 0, 0, 0, 0, 2, 7, 75
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\CSS\ProductTable.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\CSS\Signup.css", "CSS", 0, 53, 0, 0, 0, 0, 0, 0, 2, 55
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\CSS\wishlist.css", "CSS", 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 4, 46
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 153, 0, 0, 0, 19, 172
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\OrderDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 13, 195
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\OrdersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 6, 51
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\ProductDetailsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 135, 0, 0, 4, 12, 151
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\Signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 1, 10, 100
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\Pages\Wishlist.jsx", "JavaScript JSX", 0, 0, 0, 0, 185, 0, 0, 0, 16, 201
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\index.css", "CSS", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\gamer\Downloads\after admin\Ecommerce\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\gamer\Downloads\after admin\Ecommerce\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 1, 2, 8
"Total", "-", 5385, 1584, 5, 3, 5725, 26, 13, 147, 564, 13452
